sent	infile	time	goodput	throughput	PER_estimate	PER	K_TB_SIZE	N_TB_SIZE
80896 31499 111.148 3.32586 8.5417 0.340521 0 2500 3500
42000 31499 58.0388 6.36925 8.4928 0.0434753 0 4500 5500
42001 31499 58.3041 6.34027 8.45436 0.0434822 0 4500 5500
42001 31499 59.1114 6.25368 8.33889 0.0434928 0 4500 5500
42083 31499 58.889 6.2773 8.38673 0.044281 0 4500 5500
42000 31499 58.5244 6.3164 8.42234 0.0434753 0 4500 5500
42084 31499 59.1352 6.25116 8.35201 0.044108 0 4500 5500
42036 31499 59.2347 6.24066 8.32848 0.0443978 0 4500 5500
40421 31499 44.891 8.2347 10.5674 0.0203557 0 4500 5500
38506 31499 55.7122 6.63524 8.11145 4.96115e-05 0 4500 5500
38588 31499 58.8678 6.27955 7.69298 0.00257684 0 4500 5500
69478 31499 87.2855 4.23511 9.34168 0.278096 0 4500 6000
52768 31499 67.8939 5.44472 9.12136 0.166835 0 4500 6000
42577 31499 58.841 6.28241 8.4921 -0.000949301 0 4500 6000
42000 31499 56.7652 6.51216 8.68335 -0.00584678 0 4500 6000
42048 31499 57.6028 6.41746 8.56687 -0.00478497 0 4500 6000
93154 31499 115.747 3.19372 9.44522 0.302666 0 4500 6000
64963 31499 84.0461 4.39834 9.07128 0.256019 0 4500 6000
42000 31499 56.3502 6.56011 8.74729 -0.00500186 0 4500 6000
42000 31499 56.4642 6.54687 8.72964 -0.00584678 0 4500 6000
43193 31499 59.1109 6.25373 8.57563 0.00789249 0 4500 6000
end of operations
82954 31499 109.809 3.36642 8.86583 0.338566 0 2500 3500
45277 31499 57.99 6.37461 9.16315 0.0730975 0 4500 5500
49363 31499 61.437 6.01695 9.42956 0.128235 0 4500 5500
45339 31499 58.0489 6.36815 9.16639 0.0778516 0 4500 5500
45014 31499 57.8751 6.38727 9.12801 0.0754897 0 4500 5500
47606 31499 58.9783 6.26779 9.47304 0.0872743 0 4500 5500
46497 31499 59.0442 6.2608 9.24204 0.0821631 0 4500 5500
45980 31499 59.8003 6.18164 9.02372 0.0854995 0 4500 5500
45772 31499 58.9527 6.27051 9.11205 0.0824547 0 4500 5500
45827 31499 58.9629 6.26943 9.12142 0.0879835 0 4500 5500
