dectime	rxtime	totrxpck	droppck	rxpck	uselesspck	PER_estimate	PER	K_TB_SIZE	N_TB_SIZE	faileddec
5.38547 70.0111 52000 0 52000 0 0 0 2500 4000 0
6.33965 82.4154 63123 0 52000 11123 0 0 2500 4000 0
7.30711 65.764 43631 0 40500 3131 0 0 3500 4500 0
6.19305 55.7375 40500 0 40500 0 0 0 3500 4500 0
6.19466 55.7519 40500 0 40500 0 0 0 3500 4500 0
6.77477 60.973 43576 0 40500 3076 0 0 3500 4500 0
6.39953 57.5958 40500 0 40500 0 0 0 3500 4500 0
6.27224 56.4502 40500 0 40500 0 0 0 3500 4500 0
6.20323 55.8291 40500 0 40500 0 0 0 3500 4500 0
6.28197 56.5378 40500 0 40500 0 0 0 3500 4500 0
6.35753 57.2177 40503 0 40500 3 0 0 3500 4500 0
7.26233 65.3609 46840 0 40500 6340 0 0 3500 4500 0
7.58653 68.2788 49526 0 40500 9026 0 0 3500 4500 0
6.69142 60.2228 45000 0 45000 0 0 0 3500 5000 0
7.04286 63.3857 45000 0 45000 0 0 0 3500 5000 0
6.70074 60.3067 45000 0 45000 0 0 0 3500 5000 0
6.64032 59.7628 45000 0 45000 0 0 0 3500 5000 0
6.75164 60.7648 45000 0 45000 0 0 0 3500 5000 0
6.76617 60.8955 45004 0 45000 4 0 0 3500 5000 0
6.91636 62.2472 46520 0 45000 1520 0 0 3500 5000 0
6.7782 61.0038 45001 0 45000 1 0 0 3500 5000 0
6.92582 62.3323 45000 0 45000 0 0 0 3500 5000 0
7.32116 65.8904 45000 0 45000 0 0 0 3500 5000 0
6.94938 62.5444 45000 0 45000 0 0 0 3500 5000 0
end of operations
5.08868 66.1528 45500 0 45500 0 0 0 2500 3500 0
